Age,Income,CreditScore,ConstantFeature,Gender,City,Purchased
64.0,72900.0,544,10.0,M,Lucknow,No
,55500.0,571,10.0,M,Delhi,No
61.0,53100.0,739,10.0,Male,Kanpur,No
25.0,36900.0,538,10.0,female,Delhi,Yes
64.0,46500.0,676,10.0,Male,Lucknow,No
52.0,35200.0,565,10.0,M,Delhi,Yes
31.0,42600.0,658,10.0,Female,Kanpur,No
34.0,31900.0,639,10.0,M,Lucknow,Yes
53.0,73800.0,688,10.0,female,Delhi,No
67.0,38600.0,302,10.0,M,Kanpur,No
57.0,,728,10.0,female,Lucknow,No
21.0,,441,10.0,female,Kanpur,Yes
19.0,38400.0,675,10.0,female,Lucknow,Yes
,42600.0,623,10.0,female,Delhi,Yes
59.0,49300.0,445,10.0,female,Kanpur,No
21.0,40300.0,592,10.0,Female,Lucknow,No
46.0,26000.0,731,10.0,Male,Kanpur,No
35.0,27300.0,698,10.0,MALE,Kanpur,No
43.0,60200.0,643,10.0,Male,Delhi,No
61.0,48200.0,439,10.0,female,Kanpur,Yes
51.0,59700.0,486,10.0,Female,Lucknow,Yes
27.0,,360,10.0,M,Lucknow,Yes
53.0,52300.0,679,10.0,Female,Lucknow,Yes
31.0,31500.0,739,10.0,female,Lucknow,No
,52800.0,618,10.0,Female,Delhi,No
65.0,,601,10.0,Female,Kanpur,No
32.0,43300.0,643,10.0,female,Delhi,Yes
25.0,55100.0,310,10.0,Female,Kanpur,No
31.0,49800.0,361,10.0,MALE,Kanpur,No
40.0,70600.0,525,10.0,MALE,Kanpur,No
57.0,39800.0,452,10.0,Female,Delhi,No
38.0,67300.0,609,10.0,M,Kanpur,Yes
33.0,44400.0,542,10.0,female,Delhi,Yes
62.0,39600.0,792,10.0,MALE,Lucknow,No
35.0,51600.0,665,10.0,M,Lucknow,Yes
64.0,55100.0,629,10.0,Female,Kanpur,Yes
41.0,78700.0,406,10.0,M,Delhi,No
43.0,54800.0,525,10.0,Male,Lucknow,No
42.0,52900.0,517,10.0,MALE,Delhi,No
62.0,73900.0,805,10.0,Female,Delhi,No
58.0,59000.0,558,10.0,female,Kanpur,Yes
46.0,40300.0,816,10.0,Female,Lucknow,No
32.0,70300.0,353,10.0,female,Kanpur,Yes
62.0,38900.0,346,10.0,Female,Kanpur,No
18.0,40300.0,820,10.0,M,Lucknow,No
42.0,37300.0,398,10.0,M,Lucknow,No
24.0,36000.0,319,10.0,M,Delhi,No
26.0,55000.0,789,10.0,Male,Lucknow,No
41.0,46100.0,718,10.0,female,Delhi,Yes
18.0,-2200.0,361,10.0,M,Delhi,No
61.0,46000.0,444,10.0,Male,Delhi,Yes
25.0,42200.0,515,10.0,female,Lucknow,No
41.0,63400.0,302,10.0,Female,Kanpur,No
28.0,41600.0,459,10.0,Male,Delhi,No
68.0,88100.0,419,10.0,MALE,Kanpur,No
34.0,71000.0,388,10.0,Male,Kanpur,No
25.0,44200.0,628,10.0,Male,Lucknow,No
52.0,67200.0,656,10.0,female,Kanpur,No
52.0,57900.0,566,10.0,Female,Kanpur,No
50.0,53500.0,622,10.0,MALE,Lucknow,No
22.0,62000.0,840,10.0,M,Delhi,No
59.0,50800.0,494,10.0,M,Kanpur,Yes
56.0,53600.0,631,10.0,Male,Lucknow,Yes
58.0,62400.0,469,10.0,female,Kanpur,No
45.0,80800.0,820,10.0,female,Kanpur,No
24.0,53800.0,762,10.0,M,Delhi,Yes
26.0,43200.0,339,10.0,MALE,Kanpur,Yes
25.0,19600.0,836,10.0,Female,Lucknow,No
29.0,79400.0,560,10.0,MALE,Kanpur,Yes
51.0,46100.0,694,10.0,Female,Delhi,No
50.0,58000.0,525,10.0,M,Delhi,No
65.0,78600.0,423,10.0,Female,Lucknow,Yes
40.0,53400.0,337,10.0,female,Delhi,No
41.0,47100.0,627,10.0,Male,Kanpur,Yes
,71300.0,550,10.0,Male,Delhi,Yes
52.0,56900.0,475,10.0,M,Lucknow,No
61.0,58800.0,753,10.0,female,Delhi,No
57.0,27200.0,336,10.0,MALE,Delhi,No
39.0,68100.0,615,10.0,female,Delhi,No
44.0,55600.0,413,10.0,Male,Lucknow,Yes
52.0,29400.0,339,10.0,Male,Delhi,No
18.0,57300.0,600,10.0,female,Delhi,No
52.0,19100.0,523,10.0,female,Kanpur,Yes
54.0,85100.0,617,10.0,Male,Lucknow,No
64.0,33500.0,648,10.0,MALE,Delhi,Yes
31.0,74200.0,414,10.0,M,Lucknow,No
20.0,37800.0,622,10.0,M,Delhi,Yes
18.0,58400.0,339,10.0,female,Delhi,No
22.0,36300.0,339,10.0,M,Delhi,No
43.0,65000.0,588,10.0,Male,Kanpur,No
,46500.0,561,10.0,Male,Kanpur,No
56.0,57000.0,515,10.0,female,Kanpur,Yes
44.0,50200.0,446,10.0,female,Lucknow,Yes
26.0,29500.0,635,10.0,female,Lucknow,Yes
32.0,57600.0,467,10.0,MALE,Kanpur,No
32.0,42500.0,391,10.0,M,Lucknow,No
43.0,65700.0,652,10.0,female,Delhi,No
59.0,46500.0,662,10.0,Female,Delhi,No
30.0,48800.0,644,10.0,Female,Delhi,Yes
68.0,75200.0,469,10.0,Male,Kanpur,No
49.0,85700.0,655,10.0,M,Lucknow,No
56.0,,490,10.0,female,Kanpur,No
66.0,45700.0,721,10.0,Female,Lucknow,Yes
69.0,44400.0,306,10.0,M,Delhi,Yes
,37700.0,432,10.0,Male,Kanpur,Yes
21.0,40600.0,330,10.0,MALE,Lucknow,No
47.0,45900.0,834,10.0,M,Lucknow,No
54.0,79500.0,725,10.0,M,Delhi,Yes
40.0,47000.0,693,10.0,MALE,Kanpur,Yes
,31600.0,662,10.0,M,Kanpur,No
62.0,50600.0,736,10.0,Male,Kanpur,Yes
32.0,,381,10.0,Male,Delhi,Yes
60.0,50500.0,655,10.0,MALE,Kanpur,Yes
46.0,62000.0,557,10.0,female,Delhi,Yes
53.0,51000.0,823,10.0,Female,Delhi,No
30.0,61500.0,594,10.0,female,Delhi,No
49.0,38300.0,523,10.0,M,Lucknow,No
24.0,76700.0,824,10.0,Female,Kanpur,Yes
68.0,53800.0,345,10.0,MALE,Kanpur,Yes
39.0,56000.0,412,10.0,MALE,Delhi,Yes
45.0,38200.0,532,10.0,Female,Delhi,No
19.0,57100.0,316,10.0,Male,Kanpur,Yes
59.0,59800.0,659,10.0,Female,Delhi,Yes
62.0,,522,10.0,M,Kanpur,Yes
23.0,25100.0,747,10.0,Male,Lucknow,Yes
45.0,54400.0,664,10.0,MALE,Delhi,Yes
45.0,42700.0,625,10.0,Female,Kanpur,No
61.0,53900.0,766,10.0,female,Delhi,No
61.0,30600.0,713,10.0,female,Kanpur,No
37.0,26600.0,754,10.0,M,Kanpur,No
47.0,53100.0,532,10.0,female,Delhi,Yes
,44800.0,523,10.0,Female,Lucknow,Yes
45.0,18300.0,711,10.0,Female,Kanpur,No
42.0,70100.0,634,10.0,female,Kanpur,No
56.0,30400.0,521,10.0,Female,Kanpur,Yes
50.0,88600.0,336,10.0,M,Lucknow,No
18.0,40600.0,577,10.0,Male,Lucknow,No
44.0,56000.0,495,10.0,M,Delhi,No
69.0,74700.0,783,10.0,M,Lucknow,No
30.0,72200.0,541,10.0,Female,Delhi,No
58.0,79800.0,623,10.0,Male,Delhi,No
20.0,27200.0,491,10.0,Female,Lucknow,No
56.0,33000.0,316,10.0,MALE,Delhi,Yes
23.0,53400.0,823,10.0,Female,Lucknow,No
25.0,62600.0,700,10.0,Female,Delhi,Yes
44.0,49800.0,321,10.0,Female,Lucknow,No
26.0,25400.0,773,10.0,Male,Lucknow,No
54.0,57400.0,419,10.0,Female,Delhi,Yes
50.0,47100.0,509,10.0,Male,Kanpur,No
68.0,46900.0,605,10.0,female,Delhi,No
59.0,15800.0,569,10.0,MALE,Lucknow,No
61.0,62000.0,584,10.0,Male,Kanpur,Yes
41.0,52200.0,526,10.0,female,Delhi,No
32.0,76900.0,680,10.0,Male,Delhi,No
49.0,48900.0,759,10.0,Male,Delhi,Yes
49.0,58500.0,306,10.0,MALE,Kanpur,No
41.0,62500.0,328,10.0,M,Lucknow,Yes
58.0,23800.0,332,10.0,M,Delhi,Yes
69.0,89300.0,378,10.0,Male,Delhi,Yes
66.0,43500.0,758,10.0,Female,Delhi,No
66.0,57400.0,837,10.0,female,Delhi,Yes
69.0,59600.0,781,10.0,Female,Delhi,No
29.0,37800.0,729,10.0,Female,Lucknow,No
56.0,77700.0,584,10.0,Male,Lucknow,No
19.0,54000.0,815,10.0,Male,Delhi,Yes
20.0,46800.0,398,10.0,Male,Kanpur,No
66.0,52100.0,696,10.0,Male,Lucknow,No
54.0,61500.0,788,10.0,M,Kanpur,No
66.0,50200.0,338,10.0,Male,Lucknow,Yes
34.0,63200.0,570,10.0,M,Delhi,Yes
66.0,24700.0,456,10.0,M,Lucknow,Yes
19.0,38800.0,374,10.0,Male,Delhi,No
19.0,17900.0,429,10.0,MALE,Lucknow,No
45.0,80000.0,383,10.0,female,Delhi,Yes
40.0,79800.0,321,10.0,Female,Delhi,No
54.0,59400.0,758,10.0,M,Delhi,No
49.0,34800.0,838,10.0,female,Delhi,Yes
50.0,85800.0,681,10.0,MALE,Kanpur,Yes
18.0,40900.0,739,10.0,Female,Delhi,Yes
36.0,46800.0,320,10.0,Female,Kanpur,Yes
19.0,52400.0,602,10.0,M,Kanpur,Yes
61.0,56800.0,383,10.0,Male,Delhi,No
43.0,59700.0,752,10.0,MALE,Kanpur,No
49.0,60300.0,686,10.0,M,Lucknow,Yes
23.0,47800.0,806,10.0,MALE,Delhi,No
49.0,,556,10.0,Male,Kanpur,Yes
21.0,47200.0,826,10.0,Male,Delhi,No
28.0,58700.0,461,10.0,M,Delhi,No
34.0,57500.0,462,10.0,Male,Delhi,Yes
55.0,61400.0,823,10.0,female,Kanpur,Yes
41.0,59600.0,570,10.0,Female,Lucknow,Yes
22.0,43400.0,791,10.0,M,Lucknow,No
69.0,56900.0,507,10.0,MALE,Kanpur,Yes
51.0,59800.0,838,10.0,female,Delhi,No
,30600.0,359,10.0,M,Kanpur,No
39.0,45900.0,729,10.0,Male,Kanpur,No
28.0,59100.0,608,10.0,Male,Kanpur,No
65.0,75600.0,819,10.0,Male,Delhi,No
33.0,62400.0,326,10.0,Male,Kanpur,Yes
50.0,76600.0,498,10.0,MALE,Delhi,Yes
26.0,,686,10.0,female,Kanpur,Yes
23.0,53800.0,648,10.0,Female,Lucknow,No
33.0,62100.0,835,10.0,MALE,Kanpur,Yes
46.0,15100.0,677,10.0,MALE,Kanpur,Yes
20.0,72700.0,826,10.0,Female,Lucknow,Yes
37.0,22100.0,452,10.0,Female,Delhi,No
53.0,65000.0,505,10.0,Male,Delhi,No
36.0,60300.0,754,10.0,MALE,Kanpur,No
43.0,14900.0,572,10.0,M,Lucknow,No
20.0,15700.0,535,10.0,Female,Delhi,No
36.0,,820,10.0,Female,Kanpur,Yes
37.0,68200.0,800,10.0,female,Lucknow,No
49.0,36800.0,416,10.0,M,Delhi,No
24.0,36800.0,685,10.0,M,Delhi,No
69.0,57700.0,643,10.0,Female,Lucknow,No
58.0,49800.0,694,10.0,Male,Lucknow,No
50.0,65800.0,363,10.0,female,Lucknow,No
57.0,57200.0,371,10.0,M,Lucknow,No
56.0,73700.0,573,10.0,Female,Kanpur,Yes
,64600.0,619,10.0,M,Lucknow,Yes
57.0,,637,10.0,female,Delhi,No
18.0,44700.0,665,10.0,female,Delhi,No
28.0,43600.0,794,10.0,MALE,Kanpur,Yes
45.0,49200.0,465,10.0,Female,Delhi,No
42.0,77600.0,843,10.0,female,Delhi,No
,43900.0,310,10.0,MALE,Lucknow,Yes
40.0,53900.0,600,10.0,MALE,Delhi,No
48.0,16300.0,401,10.0,M,Kanpur,Yes
47.0,60100.0,724,10.0,M,Lucknow,No
59.0,83900.0,691,10.0,MALE,Lucknow,No
52.0,36000.0,513,10.0,M,Kanpur,No
24.0,97600.0,387,10.0,female,Lucknow,Yes
33.0,52700.0,700,10.0,Male,Lucknow,No
43.0,11400.0,345,10.0,female,Kanpur,No
65.0,,762,10.0,MALE,Lucknow,Yes
69.0,70000.0,609,10.0,MALE,Kanpur,No
66.0,80000.0,385,10.0,female,Kanpur,No
19.0,60800.0,391,10.0,M,Delhi,Yes
18.0,73500.0,541,10.0,M,Delhi,No
65.0,32300.0,301,10.0,MALE,Lucknow,Yes
29.0,39800.0,524,10.0,Female,Lucknow,Yes
22.0,24800.0,415,10.0,M,Kanpur,Yes
54.0,,402,10.0,female,Lucknow,No
56.0,350000.0,836,10.0,Female,Kanpur,No
69.0,48100.0,765,10.0,Female,Delhi,No
46.0,47000.0,388,10.0,Female,Lucknow,No
32.0,80400.0,567,10.0,Female,Kanpur,No
60.0,37200.0,788,10.0,Female,Lucknow,Yes
